business_name,address,city,latitude,longitude,consumed,rating,review,submitter
SBIFF Riviera Theatre,"2044 Alameda Padre Serra, Santa Barbara, CA 93103",Santa Barbara,34.4389843,-119.7070568,Yes,5,"Great DC, great ambiance!",NA
In-N-Out,"4865 Calle Real, Goleta, CA 93111",Goleta,34.4429104,-119.7907162,Yes,5,The most classic of Diet Cokes,Jordan
On the Alley,117 Harbor Way,Santa Barbara,34.4037939,-119.693449,Yes,5,The machine also has great ice,Lennon Thomas
SB Pho,"1221 State Street Suite 10, E Victoria St Lot 5, Santa Barbara, CA 93101",Santa Barbara,34.4236506,-119.7058199,Yes,4,Light flavor free refills,NA
Chick Fil A,3707 State St,Santa Barbara,34.4401384,-119.74297,No,NA,NA,Jasper
Conserv Fuel,"150 S La Cumbre Rd, Santa Barbara, CA 93105",Santa Barbara,34.4377325,-119.750905,Yes,5,the people who work there are lovely,NA
Jack in the Box,3747 State St,Santa Barbara,34.4401877,-119.7441611,No,NA,NA,Jasper
La Cumbre Fuel Depot and The Point Market,"3898 State St, Santa Barbara, CA 93105",Santa Barbara,34.4405094,-119.7455835,Yes,4,"sometimes their machine is broken, besides that it's great",NA
McDonald’s,3940 State St,Santa Barbara,34.4408562,-119.7530556,No,NA,NA,Jasper
Costco,"7095 Market Place Dr, Goleta, CA 93117",Goleta,34.4286016,-119.8737953,Yes,4,It was fine I think. actually it was a Coke Zero I hope that’s ok too,NA
Cal Taco,"7320 Hollister Ave. Goleta, CA 93117",Goleta,34.4303938,-119.882268,Yes,5,NA,NA
Los Agaves,600 Milpas St.,Santa Barbara,34.427538,-119.686577,Yes,5,NA,NA
